                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0656,                 2.1613,                 1.0704,                0.76779,                0.87287,                0.88868,                0.69708,                0.74547,                 1.3372,                0.87989,             0.00017144,             0.00017144,             0.00017144
                      2,                0.61403,                0.70215,                0.89258,                0.92324,                0.92141,                0.98291,                0.79696,                0.68598,                  0.557,                0.85411,             0.00034334,             0.00034334,             0.00034334
                      3,                0.62775,                0.54816,                0.88142,                0.95498,                0.96262,                0.98061,                0.71327,                0.86755,                0.55624,                0.89536,             0.00051177,             0.00051177,             0.00051177
                      4,                0.58813,                0.48477,                0.88299,                0.94922,                0.99496,                0.98868,                 0.8151,                0.63717,                0.42362,                 0.8292,             0.00051038,             0.00051038,             0.00051038
                      5,                0.53251,                0.42874,                0.86847,                 0.9937,                0.99621,                0.99391,                0.79273,                0.72668,                0.40847,                0.83359,             0.00051038,             0.00051038,             0.00051038
                      6,                0.52212,                0.39759,                0.86171,                0.99392,                0.98022,                0.99124,                0.81168,                0.67425,                0.40186,                0.83628,             0.00050517,             0.00050517,             0.00050517
                      7,                0.49519,                 0.3707,                0.85394,                0.98969,                0.97856,                0.98598,                0.83333,                0.61793,                0.35836,                0.81677,             0.00049996,             0.00049996,             0.00049996
                      8,                0.49639,                0.35702,                0.84981,                0.99552,                0.97979,                 0.9918,                0.84859,                0.55058,                0.33049,                0.81712,             0.00049476,             0.00049476,             0.00049476
                      9,                0.49703,                0.34863,                0.84515,                0.99475,                0.98614,                0.98998,                0.86377,                0.50783,                0.30408,                0.80097,             0.00048955,             0.00048955,             0.00048955
                     10,                0.45271,                0.32558,                 0.8406,                0.99364,                0.96624,                0.98419,                0.86726,                0.51362,                0.29995,                0.79965,             0.00048434,             0.00048434,             0.00048434
                     11,                0.46295,                0.32199,                0.84006,                0.99892,                0.98597,                0.99036,                0.83483,                0.62949,                0.35878,                0.82023,             0.00047913,             0.00047913,             0.00047913
                     12,                0.46405,                0.32854,                0.84542,                 0.9938,                0.98714,                0.99281,                0.84546,                0.56414,                0.33309,                0.80305,             0.00047393,             0.00047393,             0.00047393
                     13,                0.49444,                0.34089,                0.84001,                0.99679,                0.98578,                0.99285,                0.83659,                0.64576,                0.36782,                0.79843,             0.00046872,             0.00046872,             0.00046872
                     14,                0.42265,                0.30665,                0.82941,                 0.9982,                0.98621,                 0.9916,                0.82262,                0.67384,                0.34399,                0.80652,             0.00046351,             0.00046351,             0.00046351
                     15,                0.44795,                0.31691,                0.83049,                0.99377,                0.99808,                0.99434,                0.84804,                0.59228,                0.32822,                0.79882,              0.0004583,              0.0004583,              0.0004583
                     16,                0.42944,                0.30262,                0.82801,                0.99758,                 0.9742,                0.98937,                0.86725,                0.53318,                0.28152,                0.78927,              0.0004531,              0.0004531,              0.0004531
                     17,                0.38528,                0.27704,                0.82244,                0.99518,                 0.9742,                0.98266,                0.85182,                0.57204,                0.29642,                0.79793,             0.00044789,             0.00044789,             0.00044789
                     18,                0.38044,                0.27638,                0.82254,                0.98343,                 0.9742,                0.98852,                0.85817,                0.56136,                0.30587,                0.78655,             0.00044268,             0.00044268,             0.00044268
                     19,                0.37745,                0.27271,                0.82034,                0.98384,                0.98614,                0.98701,                0.86397,                 0.5605,                0.30797,                0.78649,             0.00043747,             0.00043747,             0.00043747
                     20,                0.42271,                0.29972,                0.82191,                0.99068,                0.98316,                 0.9909,                0.83937,                0.61714,                0.32607,                0.79575,             0.00043227,             0.00043227,             0.00043227
                     21,                0.40324,                0.28714,                0.82021,                0.99367,                0.98614,                0.98977,                0.86913,                0.52527,                0.27607,                0.78881,             0.00042706,             0.00042706,             0.00042706
                     22,                0.39575,                 0.2776,                 0.8208,                0.99825,                0.97462,                0.98983,                0.84748,                0.62461,                0.30341,                0.78903,             0.00042185,             0.00042185,             0.00042185
                     23,                0.39332,                0.27479,                0.81873,                0.99272,                0.98611,                0.98428,                0.88369,                0.47701,                0.26704,                0.78418,             0.00041664,             0.00041664,             0.00041664
                     24,                0.41105,                0.28108,                0.82037,                0.99649,                0.98614,                0.98919,                0.84017,                  0.625,                0.30475,                0.79485,             0.00041144,             0.00041144,             0.00041144
                     25,                 0.3857,                0.27142,                0.82048,                0.99424,                0.97834,                0.99045,                0.86589,                0.54824,                0.28576,                0.78644,             0.00040623,             0.00040623,             0.00040623
                     26,                0.39331,                0.27788,                 0.8174,                0.99588,                0.98614,                0.99124,                0.81499,                0.75655,                0.35987,                0.79648,             0.00040102,             0.00040102,             0.00040102
                     27,                0.41996,                0.28073,                0.81779,                0.99696,                 0.9742,                0.99073,                0.83779,                0.64889,                0.30367,                0.78878,             0.00039581,             0.00039581,             0.00039581
